#TYPE Selected.System.Management.Automation.PSCustomObject,,,,,,
Date,Time,AccountName,AccountDomain,SourceAddress,SourcePort,Sharename
7/31/2017,6:50 PM,rmisp,AP1,10.80.24.173,59506,\\*\IPC$
7/31/2017,6:50 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58525,\\*\IPC$
7/31/2017,6:50 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58525,\\*\SYSVOL
7/31/2017,6:50 PM,dataexu,AP1,10.42.160.25,57609,\\*\IPC$
7/31/2017,6:49 PM,rajdeepm,ADASIAPAC,183.111.2.56,58505,\\*\SYSVOL
7/31/2017,6:49 PM,rajdeepm,ADASIAPAC,183.111.2.56,58505,\\*\IPC$
7/31/2017,6:49 PM,_idshk,AP1,10.42.156.78,50436,\\*\IPC$
7/31/2017,6:49 PM,_idshk,AP1,10.42.156.78,50436,\\*\AGIHK
7/31/2017,6:49 PM,rmisp,AP1,10.80.24.173,59492,\\*\IPC$
7/31/2017,6:49 PM,dataexu,AP1,10.42.160.25,57602,\\*\IPC$
7/31/2017,6:48 PM,_idshk,AP1,10.42.156.78,50435,\\*\IPC$
7/31/2017,6:48 PM,dataexu,AP1,10.42.160.25,57596,\\*\IPC$
7/31/2017,6:48 PM,rmisp,AP1,10.80.24.173,59472,\\*\IPC$
7/31/2017,6:47 PM,AGIHKGSUSQ1P$,ADASIAPAC,183.100.2.127,53992,\\*\SYSVOL
7/31/2017,6:47 PM,AGIHKGSUSQ1P$,ADASIAPAC,183.100.2.127,53992,\\*\IPC$
7/31/2017,6:47 PM,_idshk,AP1,10.42.156.78,50433,\\*\IPC$
7/31/2017,6:47 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58499,\\*\IPC$
7/31/2017,6:47 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58499,\\*\SYSVOL
7/31/2017,6:47 PM,dataexu,AP1,10.42.160.25,57586,\\*\IPC$
7/31/2017,6:47 PM,dataexp,AP1,10.42.156.118,53566,\\*\IPC$
7/31/2017,6:47 PM,rmisp,AP1,10.80.24.173,59458,\\*\IPC$
7/31/2017,6:46 PM,PDC7AP-ISEADM01$,1CORP,10.80.129.11,25059,\\*\IPC$
7/31/2017,6:46 PM,_idshk,AP1,10.42.156.78,50431,\\*\IPC$
7/31/2017,6:46 PM,MONICAC,AP1,10.80.19.111,54518,\\*\IPC$
7/31/2017,6:46 PM,MONICAC,AP1,10.80.19.111,54518,\\*\AGIHK
7/31/2017,6:46 PM,MONICAC,AP1,10.80.19.111,54517,\\*\IPC$
7/31/2017,6:46 PM,_idshk,AP1,10.42.156.78,50429,\\*\AGIHK
7/31/2017,6:46 PM,dataexu,AP1,10.42.160.25,57565,\\*\IPC$
7/31/2017,6:45 PM,rmisp,AP1,10.80.24.173,59444,\\*\IPC$
7/31/2017,6:45 PM,_idshk,AP1,10.42.156.78,50416,\\*\IPC$
7/31/2017,6:45 PM,_idshk,AP1,10.42.156.78,50409,\\*\AGIHK
7/31/2017,6:45 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58495,\\*\SYSVOL
7/31/2017,6:45 PM,dataexu,AP1,10.42.160.25,57563,\\*\IPC$
7/31/2017,6:45 PM,_idshk,AP1,10.42.156.78,50400,\\*\AGIHK
7/31/2017,6:44 PM,JOVYC,AP1,10.80.16.148,51283,\\*\IPC$
7/31/2017,6:44 PM,_idshk,AP1,10.42.156.78,50400,\\*\IPC$
7/31/2017,6:44 PM,rmisp,AP1,10.80.24.173,59425,\\*\IPC$
7/31/2017,6:44 PM,dataexu,AP1,10.42.160.25,57536,\\*\IPC$
7/31/2017,6:44 PM,AGIHKGSQ1D$,ADASIAPAC,183.111.2.71,50004,\\*\IPC$
7/31/2017,6:44 PM,AGIHKGSQ1D$,ADASIAPAC,183.111.2.71,50004,\\*\SYSVOL
7/31/2017,6:43 PM,rmisp,AP1,10.80.24.173,59411,\\*\IPC$
7/31/2017,6:43 PM,_idshk,AP1,10.42.156.78,50399,\\*\AGIHK
7/31/2017,6:43 PM,_idshk,AP1,10.42.156.78,50399,\\*\IPC$
7/31/2017,6:43 PM,LOCAL SERVICE,NT AUTHORITY,183.111.2.56,58489,\\*\IPC$
7/31/2017,6:43 PM,dataexu,AP1,10.42.160.25,57529,\\*\IPC$
7/31/2017,6:42 PM,rmisp,AP1,10.80.24.173,59396,\\*\IPC$
7/31/2017,6:42 PM,dataexu,AP1,10.42.160.25,57526,\\*\IPC$
7/31/2017,6:42 PM,_idshk,AP1,10.42.156.78,50396,\\*\IPC$
7/31/2017,6:42 PM,_idshk,AP1,10.42.156.78,50396,\\*\AGIHK
7/31/2017,6:41 PM,AGIHKGSP5UD$,ADASIAPAC,10.42.160.11,61563,\\*\IPC$
7/31/2017,6:41 PM,rmisp,AP1,10.80.24.173,59383,\\*\IPC$
7/31/2017,6:41 PM,MONICAC,AP1,10.80.19.111,54303,\\*\IPC$
7/31/2017,6:41 PM,MONICAC,AP1,10.80.19.111,54303,\\*\AGIHK
7/31/2017,6:41 PM,_idshk,AP1,10.42.156.78,50395,\\*\IPC$
7/31/2017,6:41 PM,ELVISC,AP1,10.80.16.97,58714,\\*\IPC$
7/31/2017,6:41 PM,dataexu,AP1,10.42.160.25,57523,\\*\IPC$
7/31/2017,6:40 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58476,\\*\SYSVOL
7/31/2017,6:40 PM,_idshk,AP1,10.42.156.78,50392,\\*\IPC$
7/31/2017,6:40 PM,dataexu,AP1,10.42.160.25,57521,\\*\IPC$
7/31/2017,6:40 PM,rmisp,AP1,10.80.24.173,59359,\\*\IPC$
7/31/2017,6:39 PM,PGC1US-ISEADM01$,1CORP,10.42.54.34,47845,\\*\IPC$
7/31/2017,6:39 PM,_idshk,AP1,10.42.156.78,50388,\\*\IPC$
7/31/2017,6:39 PM,dataexu,AP1,10.42.160.25,57516,\\*\IPC$
7/31/2017,6:39 PM,rmisp,AP1,10.80.24.173,59345,\\*\IPC$
7/31/2017,6:38 PM,_idshk,AP1,10.42.156.78,50385,\\*\IPC$
7/31/2017,6:38 PM,dataexu,AP1,10.42.160.25,57510,\\*\IPC$
7/31/2017,6:37 PM,rmisp,AP1,10.80.24.173,59330,\\*\IPC$
7/31/2017,6:37 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58464,\\*\SYSVOL
7/31/2017,6:37 PM,dataexu,AP1,10.42.160.25,57505,\\*\IPC$
7/31/2017,6:37 PM,_idshk,AP1,10.42.156.78,50379,\\*\IPC$
7/31/2017,6:37 PM,_idshk,AP1,10.42.156.78,50379,\\*\AGIHK
7/31/2017,6:36 PM,rmisp,AP1,10.80.24.173,59310,\\*\IPC$
7/31/2017,6:36 PM,MONICAC,AP1,10.80.19.111,54056,\\*\IPC$
7/31/2017,6:36 PM,MONICAC,AP1,10.80.19.111,54057,\\*\IPC$
7/31/2017,6:36 PM,MONICAC,AP1,10.80.19.111,54056,\\*\AGIHK
7/31/2017,6:36 PM,dataexu,AP1,10.42.160.25,57501,\\*\IPC$
7/31/2017,6:36 PM,_idshk,AP1,10.42.156.78,50378,\\*\IPC$
7/31/2017,6:35 PM,rmisp,AP1,10.80.24.173,59295,\\*\IPC$
7/31/2017,6:35 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58461,\\*\SYSVOL
7/31/2017,6:35 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58461,\\*\IPC$
7/31/2017,6:35 PM,dataexu,AP1,10.42.160.25,57499,\\*\IPC$
7/31/2017,6:35 PM,_idshk,AP1,10.42.156.78,50376,\\*\IPC$
7/31/2017,6:35 PM,_wasadm,ADASIAPAC,10.42.160.12,57744,\\*\IPC$
7/31/2017,6:35 PM,_wasadm,ADASIAPAC,10.42.160.12,57738,\\*\IPC$
7/31/2017,6:34 PM,rmisp,AP1,10.80.24.173,59282,\\*\IPC$
7/31/2017,6:34 PM,_idshk,AP1,10.42.156.78,50373,\\*\IPC$
7/31/2017,6:33 PM,rmisp,AP1,10.80.24.173,59266,\\*\IPC$
7/31/2017,6:33 PM,AGIHKGWSQ5UD$,ADASIAPAC,10.42.160.12,57725,\\*\IPC$
7/31/2017,6:33 PM,_idshk,AP1,10.42.156.78,50372,\\*\IPC$
7/31/2017,6:32 PM,rmisp,AP1,10.80.24.173,59251,\\*\IPC$
7/31/2017,6:32 PM,_idshk,AP1,10.42.156.78,50370,\\*\IPC$
7/31/2017,6:31 PM,MONICAC,AP1,10.80.19.111,53805,\\*\IPC$
7/31/2017,6:31 PM,MONICAC,AP1,10.80.19.111,53804,\\*\IPC$
7/31/2017,6:31 PM,MONICAC,AP1,10.80.19.111,53804,\\*\AGIHK
7/31/2017,6:31 PM,_idshk,AP1,10.42.156.78,50368,\\*\AGIHK
7/31/2017,6:31 PM,rmisp,AP1,10.80.24.173,59231,\\*\IPC$
7/31/2017,6:30 PM,_idshk,AP1,10.42.156.78,50357,\\*\AGIHK
7/31/2017,6:30 PM,_idshk,AP1,10.42.156.78,50357,\\*\IPC$
7/31/2017,6:30 PM,_idshk,AP1,10.42.156.78,50357,\\*\AGIHK
7/31/2017,6:30 PM,dataexu,AP1,10.42.160.25,57483,\\*\IPC$
7/31/2017,6:30 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,58447,\\*\SYSVOL
7/31/2017,6:30 PM,rmisp,AP1,10.80.24.173,59218,\\*\IPC$
7/31/2017,6:30 PM,_idshk,AP1,10.42.156.78,50348,\\*\AGIHK
7/31/2017,6:29 PM,ELLANEN,AP1,10.80.241.27,61367,\\*\IPC$
7/31/2017,6:29 PM,ELLANEN,AP1,10.80.241.27,61366,\\*\IPC$
7/31/2017,6:29 PM,_idshk,AP1,10.42.156.78,50348,\\*\IPC$
7/31/2017,6:29 PM,dataexu,AP1,10.42.160.25,57470,\\*\IPC$
7/31/2017,6:28 PM,rmisp,AP1,10.80.24.173,59203,\\*\IPC$
